ACCOUNT_NR;ACCOUNT_NAME;ACCOUNT_TYPE;VAT_NR;STREET;STREET_CD;HOUSE_NUM1;HOUSE_NUM2;POSTAL_CD;CITY;COUNTRY_CD;PHONE_NR;FAX_NR;Full Address
1009708;Ngu Thuong Tran;2;BE0564515353;Avenue Des FrËres BecquÈ;22740;57;;1082;Berchem-Sainte-Agathe ( Bruxelles );BE;02 465 49 13;3224654913;Avenue Des FrËres BecquÈ 57  1082 Berchem-Sainte-Agathe ( Bruxelles )
1009709;General Advice Services;2;BE0471690016;Clarissenstraat;75136;5;;9000;Gent;BE;09 224 11 56;;Clarissenstraat 5  9000 Gent
1009725;Georges Tuts;2;BE0604114911;Rue Pont Saint-Pierre;108237;22;;4690;Glons ( Bassenge );BE;04 286 20 70;3242862420;Rue Pont Saint-Pierre 22  4690 Glons ( Bassenge )
1009733;Robert Debauve;2;BE0691073431;Avenue Coloniale;24901;14;;1170;Watermael-Boitsfort ( Bruxelles );BE;02 673 44 40;;Avenue Coloniale 14  1170 Watermael-Boitsfort ( Bruxelles )
1009734;Dominique Debroux;2;BE0775033958;DrËve Des Dix MËtres;46044;23;;1410;Waterloo;BE;02 354 57 45;;DrËve Des Dix MËtres 23  1410 Waterloo
1009739;Johan Hanne;2;BE0706794161;Galgenberg;35102;57;;3293;Kaggevinne;BE;011 39 75 04;3213314886;Galgenberg 57  3293 Kaggevinne
1009741;Jean-Luc Nuyttens;2;BE0621914015;Rue Julien Coppenolle;95124;84;;7700;Mouscron;BE;056 34 28 79;;Rue Julien Coppenolle 84  7700 Mouscron
1009754;Hary Franssen;2;BE0607598102;Rue du SacrÈ-Coeur;121436;16;;4841;Henri-Chapelle ( Welkenraedt );BE;087 22 01 89;;Rue du SacrÈ-Coeur 16  4841 Henri-Chapelle ( Welkenraedt )
1009757;FranÁois Lecomte;2;BE0688248157;Rue de Behogne;143695;62;;5580;Rochefort;BE;084 21 16 34;3284211868;Rue de Behogne 62  5580 Rochefort
1009759;Francis Mulkin;2;BE0604775501;Rue du Trois Juin;111103;108;;4040;Herstal;BE;04 264 49 06;;Rue du Trois Juin 108  4040 Herstal
1009761;Pierre Sabus;2;BE0655234604;ChaussÈe de Namur;40227;15;;1320;Hamme-Mille ( Beauvechain );BE;010 86 02 82;3210860282;ChaussÈe de Namur 15  1320 Hamme-Mille ( Beauvechain )
1009762;Yves Stassin;2;BE0665230651;Rue du Seigneur;89952;32;7;7170;La Hestre;BE;064 54 80 24;;Rue du Seigneur 32 7 7170 La Hestre
1009766;Rudy Van Petegem Accountantskantoor;2;BE0442657421;Sint-Franciesdijk;78097;14;;9185;Wachtebeke;BE;09 345 40 07;3293370310;Sint-Franciesdijk 14  9185 Wachtebeke
1009767;Claude Vileyn;2;BE0571881316;Avenue Des Roitelets;28752;14;;1950;Kraainem;BE;02 735 63 22;;Avenue Des Roitelets 14  1950 Kraainem
1009775;Patrick De Paepe;2;BE0649142212;Wurmendries;68136;19;;9620;Strijpen;BE;09 356 64 01;3293611785;Wurmendries 19  9620 Strijpen
1009776;JosÈphine Geerts;2;BE0613191240;Rue de l'Union;86766;102;;6040;Jumet ( Charleroi );BE;071 41 63 36;;Rue de l'Union 102  6040 Jumet ( Charleroi )
1009782;Constant Vandekeybus;2;BE0627401047;Nollekensstraat;5075;41;;2910;Essen;BE;03 667 32 94;3236771043;Nollekensstraat 41  2910 Essen
1009785;Eddy Allaert;2;BE0738231069;Nieuwstraat;69856;11;;9230;Wetteren;BE;09 252 21 32;3292522132;Nieuwstraat 11  9230 Wetteren
1009789;Philippe Asinari di San-Marzano;2;BE0655273107;Rue du Sartau;41254;21;;1325;Dion-Valmont ( Chaumont-Gistoux );BE;010 84 05 70;3210841343;Rue du Sartau 21  1325 Dion-Valmont ( Chaumont-Gistoux )
1009794;Josephus De Leeuw;2;BE0769089739;Baron van Ertbornstraat;34;110;;2630;Aartselaar;BE;03 546 72 84;3235426952;Baron van Ertbornstraat 110  2630 Aartselaar
1009797;Julien Ecker;2;BE0747330461;Eikstraat;30636;9;;1673;Beert ( Pepingen );BE;02 356 86 65;3223616390;Eikstraat 9  1673 Beert ( Pepingen )
1009798;AndrÈ GÈrin;2;BE0548559447;AllÈe Des Freesias;22486;3;26;1030;Schaerbeek ( Bruxelles );BE;02 241 15 87;3222411587;AllÈe Des Freesias 3 26 1030 Schaerbeek ( Bruxelles )
1009799;Hugo Govaerts;2;BE0702314246;Pannenhuisstraat;10569;40;;2500;Lier;BE;03 480 67 25;;Pannenhuisstraat 40  2500 Lier
1009808;Josephine Mambourg;2;BE0757248415;Rue Henin;114036;10;;4684;Haccourt ( Oupeye );BE;04 379 47 63;3243793677;Rue Henin 10  4684 Haccourt ( Oupeye )
1009809;JosÈ Martinez Garcia;2;BE0613757503;Rue Des Auduins;86901;180;;6060;Gilly ( Charleroi );BE;071 41 95 43;3271423173;Rue Des Auduins 180  6060 Gilly ( Charleroi )
1009815;Robert Schuster;2;BE0603804214;Rue Justin Lenders;112488;18;4;4020;LiËge;BE;04 343 82 50;;Rue Justin Lenders 18 4 4020 LiËge
1009820;Edward Van Vre;2;BE0406383082;Consciencestraat;1231;41;;2018;Antwerpen;BE;03 280 15 05;3232385816;Consciencestraat 41  2018 Antwerpen
1009824;Ronny Verest;2;BE0686443561;Rozenlaan;8970;18;;2980;Halle ( Zoersel );BE;03 384 26 31;3223841117;Rozenlaan 18  2980 Halle ( Zoersel )
1009825;Vonckx & Partners;2;BE0468979063;De Reep;7241;20;;2970;Schilde;BE;03 449 45 42;3233859798;De Reep 20  2970 Schilde
1005495;Comites;2;BE0449644488;Turkooisstraat;3111;20;;2600;Berchem-Antwerpen;BE;03 281 16 10;3232188758;Turkooisstraat 20  2600 Berchem-Antwerpen
1005496;Accountants Lambregts & Co;2;BE0457738347;Steenweg op Zevendonk;18293;30;;2300;Turnhout;BE;014 43 96 60;3214428952;Steenweg op Zevendonk 30  2300 Turnhout
1005497;Formation Action-Militantisme;2;460237284;Place Saint-Jean;20243;1;;1000;Bruxelles;BE;02 515 04 85;3225114996;Place Saint-Jean 1  1000 Bruxelles
1005501;AC Partners;2;BE0446844851;ChaussÈe de Charleroi;22872;112-116;;1060;Saint-Gilles ( Bruxelles );BE;02 461 07 04;3224610002;ChaussÈe de Charleroi 112-116  1060 Saint-Gilles ( Bruxelles )
1005505;Kristel Ceulemans;2;BE0744288918;Leliestraat;12450;37;;2860;Sint-Katelijne-Waver;BE;015 32 20 14;3215314189;Leliestraat 37  2860 Sint-Katelijne-Waver
1005510;Guy  Dupont;2;BE0454072638;Place de l'HÙtel de Ville;151014;17;;5620;Florennes;BE;071 68 96 14;3271686506;Place de l'HÙtel de Ville 17  5620 Florennes
1005514;Assetip;2;BE0445156655;Avenue des Casernes;21342;29;;1040;Bruxelles;BE;02 626 15 40;3226272251;Avenue des Casernes 29  1040 Bruxelles
1005518;Entreprises Francis Devos;2;BE0438786527;Rue du Cerisier;41456;4;;1490;Court-Saint-Etienne;BE;010 61 28 62;3210612438;Rue du Cerisier 4  1490 Court-Saint-Etienne
1005520;ABVV Vlaams-Brabant;2;923019633;Maria-Theresiastraat;37316;119;;3000;Leuven;BE;016 22 46 01;3216293684;Maria-Theresiastraat 119  3000 Leuven
1005524;Mertens Bouwonderneming;2;BE0444916927;Hendrik Heymanstraat;154372;18;;3920;Lommel;BE;011 54 42 95;3211551625;Hendrik Heymanstraat 18  3920 Lommel
1005525;Firmenich;2;BE0454734614;Oude Bunders;173215;1408;;3630;Maasmechelen;BE;089 77 22 55;3289771166;Oude Bunders 1408  3630 Maasmechelen
1005527;Van Huffelen & Co;2;438770491;Bisschoppenhoflaan;2436;645;3;2100;Deurne ( Antwerpen );BE;03 354 30 70;3233552363;Bisschoppenhoflaan 645 3 2100 Deurne ( Antwerpen )
1005530;Actiris;2;239843188;Rue PotagËre;23508;5;;1210;Bruxelles;BE;02 505 14 11;3225057819;Rue PotagËre 5  1210 Bruxelles
1005531;Luctor;2;BE0446839705;Wegvoeringstraat;66454;12;;9500;Geraardsbergen;BE;054 41 66 08;3254438069;Wegvoeringstraat 12  9500 Geraardsbergen
1005535;Boekhouding-Fiskaliteit J. De Vogelaer;2;BE0457409735;James Ensorlaan;32152;44;;1800;Vilvoorde;BE;02 253 25 53;3222532553;James Ensorlaan 44  1800 Vilvoorde
1005537;Administration & Services;2;BE0458365679;Van Akenstraat;27066;11;;1850;Grimbergen;BE;02 270 52 03;3222705159;Van Akenstraat 11  1850 Grimbergen
1005540;Ernst & Young;2;NL007628547B01;Varrolaan;;100;;3584 BW;UTRECHT;NL;;;Varrolaan 100  3584 BW UTRECHT
1005541;Fidiciaire Bovy;2;BE0425021138;Place de Saint-Symphorien;93135;2;;7030;Saint-Symphorien;BE;065 22 09 20;3265349719;Place de Saint-Symphorien 2  7030 Saint-Symphorien
1005542;Fiscalan;2;BE0456496549;Kuringersteenweg;125772;96;7/aug;3500;Hasselt;BE;011 85 84 50;3211858459;Kuringersteenweg 96 44050 3500 Hasselt
1005543;KPMG ACCOUNTANTS;2;BE0429524215;Prins Boudewijnlaan;5928;24D;;2550;Kontich;BE;03 821 18 80;3238252225;Prins Boudewijnlaan 24D  2550 Kontich
1005548;Andante;2;BE0443635735;Peperstraat;36754;61;;3071;Erps-Kwerps;BE;02 759 98 70;3227579120;Peperstraat 61  3071 Erps-Kwerps
1005551;Bruxelles Formation;2;252168920;Boulevard Adolphe Max;20366;157;;1000;Bruxelles;BE;02 371 73 00;3223717360;Boulevard Adolphe Max 157  1000 Bruxelles
1005552;ConfÈdÈration Nationale des Cadres;2;;Avenue Carton de Wiart;21940;148;;1090;Jette ( Bruxelles );BE;02 420 42 09;3224204604;Avenue Carton de Wiart 148  1090 Jette ( Bruxelles )
1005553;Securex SecrÈtariat Social;2;BE0401086981;Cours Saint-Michel;21420;30A;;1040;Etterbeek ( Bruxelles );BE;02 729 92 11;3227069646;Cours Saint-Michel 30A  1040 Etterbeek ( Bruxelles )
1005556;Centre de Transfusion Sanguine;2;;Rue Dos-Fanchon;112411;41;;4020;LiËge;BE;04 341 69 51;3243416969;Rue Dos-Fanchon 41  4020 LiËge
1005557;Sd Worx;2;;Place Rucloux;85950;4;;6000;Charleroi;BE;071 90 61 00;3271306573;Place Rucloux 4  6000 Charleroi
1005558;Centre PME-Formation;2;421407986;Rue Warmonceau;85972;;;6000;Charleroi;BE;071 41 39 45;3271422803;Rue Warmonceau   6000 Charleroi
1005562;Erasmushogeschool Brussel;2;BE0255710113;Zespenningenstraat;20248;68-72;;1000;Brussel;BE;02 213 61 63;3225233757;Zespenningenstraat 68-72  1000 Brussel
1005563;Diresco;2;BE0422798650;Industrieweg-Noord;161817;1134;;3660;Opglabbeek ( Oudsbergen );BE;089 85 69 44;3289856944;Industrieweg-Noord 1134  3660 Opglabbeek ( Oudsbergen )
1005570;Lutgarde Geeroms;2;BE0760189691;Restert;65651;58;;9320;Nieuwerkerken ( Aalst );BE;053 83 23 38;3253832338;Restert 58  9320 Nieuwerkerken ( Aalst )
1005571;CMB Dendermonde;2;;Dijkstraat;68813;59;;9200;Dendermonde;BE;052 25 92 59;3252221402;Dijkstraat 59  9200 Dendermonde
1005572;Accountantskantoor De Rop;2;BE0454380563;Kapelleweg;30123;36;;1745;Opwijk;BE;052 35 35 95;3252356253;Kapelleweg 36  1745 Opwijk
1005573;Van Der Jeugt & Cie;2;BE0454948509;Wanneshof;155361;10;;1860;Meise;BE;0475 76 89 39;;Wanneshof 10  1860 Meise
1005574;Accountantskantoor Van den Brande & Partners;2;BE0455061444;Brasschaatsebaan;7160;3;;2970;Schilde;BE;03 380 18 50;3233801851;Brasschaatsebaan 3  2970 Schilde
1005577;Idee Fisc Fiduciaire;2;BE0455796466;Lavendelstraat;67464;1;;9400;Ninove;BE;054 33 31 66;3254333106;Lavendelstraat 1  9400 Ninove
1005578;Boekhoudkantoor De Schrijver;2;BE0456630765;Charles de Kerchovelaan;74327;91;;9000;Gent;BE;09 225 01 05;3292259817;Charles de Kerchovelaan 91  9000 Gent
1005579;De Valier;2;429699409;Verlorenkoststraat;29103;103;;1770;Liedekerke;BE;053 67 25 24;3253680459;Verlorenkoststraat 103  1770 Liedekerke
1005583;EndemolShine Belgium;2;BE0456086872;SchaliÎnhoevedreef;11166;20E;;2800;Mechelen;BE;015 65 20 00;3215652001;SchaliÎnhoevedreef 20E  2800 Mechelen
1005585;POB Zedelgem;2;;Stadionlaan;50660;50;;8210;Zedelgem;BE;050 20 80 08;3250241481;Stadionlaan 50  8210 Zedelgem
1005586;Openbare Bibliotheek Wingene;2;;Oude Bruggestraat;63257;13;;8750;Wingene;BE;051 65 00 77;3251650078;Oude Bruggestraat 13  8750 Wingene
1005587;KPMG Accountants;2;;Burgemeester Rijnderslaan;;10;;1185 MC;AMSTELVEEN;NL;020 656 7081;3,10207E+11;Burgemeester Rijnderslaan 10  1185 MC AMSTELVEEN
1006945;ABC Vanhie;2;BE0432583970;Heidestraat;32023;19A;;1742;Sint-Katherina-Lombeek ( Ternat );BE;02 582 79 99;3225828505;Heidestraat 19A  1742 Sint-Katherina-Lombeek ( Ternat )
1006947;Jacques Steyaert;2;BE0432234275;Poolse-Winglaan;76266;98;;9051;Sint-Denijs-Westrem-Afsnee ( Gent );BE;09 221 80 90;3292204238;Poolse-Winglaan 98  9051 Sint-Denijs-Westrem-Afsnee ( Gent )
1006948;Elster;2;BE0406973693;Birminghamstraat;23084;66;;1080;Brussel;BE;02 513 66 50;3225132193;Birminghamstraat 66  1080 Brussel
1006949;Alain Serckx;2;BE0477266031;Rue Ernest Salu;20857;91;;1020;Bruxelles;BE;02 478 76 13;3224786892;Rue Ernest Salu 91  1020 Bruxelles
1006951;Helpens-Janssens;2;;Avenue du Manoir d'Anjou;23886;14;;1150;Woluwe-Saint-Pierre ( Bruxelles );BE;02 673 76 90;3223759463;Avenue du Manoir d'Anjou 14  1150 Woluwe-Saint-Pierre ( Bruxelles )
1006955;Huet  Duvivier;2;445927410;Rue Jean-Baptiste Brabant;147590;24;8;5000;Namur;BE;081 73 79 40;3281736247;Rue Jean-Baptiste Brabant 24 8 5000 Namur
1006957;Fidusa;2;BE0435285223;Grand'Place;101609;15;;6470;Sivry ( Sivry-Rance );BE;060 45 55 82;3260456682;Grand'Place 15  6470 Sivry ( Sivry-Rance )
1006959;Pierre Favart;2;;Rue de la RÈunion;92907;10;;7000;Mons;BE;065 22 10 00;3265352659;Rue de la RÈunion 10  7000 Mons
1006960;Comptassoc;2;BE0435458932;Rue Hamoir;97128;124;1;7100;La LouviËre;BE;064 22 02 16;3264558767;Rue Hamoir 124 1 7100 La LouviËre
1006963;Sociaal Leven;2;410680281;Molenbergstraat;781;2;;2000;Antwerpen;BE;03 234 04 50;;Molenbergstraat 2  2000 Antwerpen
1006965;IMP l'Oiseau Bleu;2;433817355;Rue du Mont;107314;132;;4520;Moha ( Wanze );BE;085 21 69 66;3285205128;Rue du Mont 132  4520 Moha ( Wanze )
1006966;Abriso;2;BE0426860673;Gijzelbrechtegemstraat;54143;8;;8570;Anzegem;BE;056 69 49 12;3256694706;Gijzelbrechtegemstraat 8  8570 Anzegem
1006972;ABC;2;404688354;Reinaartlaan;1987;8;;2050;Antwerpen;BE;03 210 94 00;3232190551;Reinaartlaan 8  2050 Antwerpen
1006973;Elaut;2;BE0416901743;Passtraat;82549;223;;9100;Sint-Niklaas;BE;03 780 94 80;3237780561;Passtraat 223  9100 Sint-Niklaas
1006974;Luc Peeters;2;BE0706803069;Martensstraat;38955;40;;3271;Averbode;BE;013 78 05 00;3213781149;Martensstraat 40  3271 Averbode
1006977;Les Foyers Sainte-Marie;2;401451227;Rue de BoÎlhe;121965;31;;4250;Geer;BE;019 58 80 47;3219588779;Rue de BoÎlhe 31  4250 Geer
1006978;Bureau Compta-Fiscal Voghel Jean;2;BE0693340459;Rue de La BruyËre;44971;99;;1332;Genval ( Rixensart );BE;02 654 04 72;3226540472;Rue de La BruyËre 99  1332 Genval ( Rixensart )
1006980;Home Sint-Franciscus;2;433217935;Kwaremontplein;78966;41;;9690;Kwaremont ( Kluisbergen );BE;055 38 86 86;3255386023;Kwaremontplein 41  9690 Kwaremont ( Kluisbergen )
1006981;Valvekens & Partners;2;826111584;Emile van Becelaerelaan;24865;28B;8;1170;Watermaal-Bosvoorde ( Brussel );BE;02 672 64 56;3226751154;Emile van Becelaerelaan 28B 8 1170 Watermaal-Bosvoorde ( Brussel )
1006985;Duchesne & Quick;2;432879227;Lange Dreef;9442;18;;2820;Rijmenam ( Bonheiden );BE;015 52 82 66;3215528267;Lange Dreef 18  2820 Rijmenam ( Bonheiden )
1006998;Foster Fast Food;2;BE0427723478;Oude Baan;11351;1C;;2800;Mechelen;BE;015 28 16 16;3215281617;Oude Baan 1C  2800 Mechelen
1007005;BETV;2;BE0435115967;Avenue Ariane;23796;5;5;1200;Woluwe-Saint-Lambert ( Bruxelles );BE;02 730 02 11;3227057525;Avenue Ariane 5 5 1200 Woluwe-Saint-Lambert ( Bruxelles )
1007011;ADB Safegate;2;BE0400624648;Leuvensesteenweg;33214;585;;1930;Zaventem;BE;02 722 17 11;3227221885;Leuvensesteenweg 585  1930 Zaventem
1007014;Gawi;2;BE0429192435;Sint-Ursmarusstraat;69038;62;;9200;Baasrode;BE;052 34 15 41;3252340941;Sint-Ursmarusstraat 62  9200 Baasrode
1007015;Deknudt Mirrors;2;BE0408349115;De Cassinastraat;54443;4;;8540;Deerlijk;BE;056 71 21 05;3256704064;De Cassinastraat 4  8540 Deerlijk
1007016;Deknudt Mirror Works;2;BE0430064643;Kasteelstraat;54467;10;;8540;Deerlijk;BE;056 73 25 60;3256705933;Kasteelstraat 10  8540 Deerlijk
1007017;Start People;2;BE0412773897;Colaertplein;52390;25;;8900;Ieper;BE;057 20 85 21;;Colaertplein 25  8900 Ieper
1007018;Start People;2;BE0412773897;Avenue Jean d'Avesnes;92629;10B;;7000;Mons;BE;065 31 82 77;;Avenue Jean d'Avesnes 10B  7000 Mons
1007020;Start People;2;BE0412773897;Rue des Carmes;147618;44;;5000;Namur;BE;03 220 78 11;3232317918;Rue des Carmes 44  5000 Namur
1007021;Start People;2;BE0412773897;Rue des Puits l'Eau;103853;30;;7500;Tournai;BE;069 21 63 91;3269216393;Rue des Puits l'Eau 30  7500 Tournai
1007022;Agility Logistics;2;BE0404537411;Vliegveld;155577;753;;1820;Melsbroek;BE;02 752 93 50;3227519512;Vliegveld 753  1820 Melsbroek
1007024;Vopak Terminal Eurotank;2;BE0419276857;Industrieweg;156202;16;;2030;Antwerpen;BE;03 545 73 00;3235412750;Industrieweg 16  2030 Antwerpen
1007025;Du Pont de Nemours (Belgium);2;BE0400837058;Antoon Spinoystraat;11193;5;;2800;Mechelen;BE;015 44 10 11;3215441407;Antoon Spinoystraat 5  2800 Mechelen
1007026;Woningbouw Verelst;2;BE0420647527;Mechelsesteenweg;6909;35;;2840;Rumst;BE;015 75 37 35;3215300361;Mechelsesteenweg 35  2840 Rumst
1007027;D'Ieteren;2;BE0403448140;Rue du Mail;21138;50;;1050;Ixelles ( Bruxelles );BE;02 536 55 11;3225365200;Rue du Mail 50  1050 Ixelles ( Bruxelles )
1007028;D'Ieteren;2;BE0403448140;Leuvensesteenweg;36745;639;;3070;Kortenberg;BE;02 536 51 11;3225365141;Leuvensesteenweg 639  3070 Kortenberg
1007029;D'Ieteren Lease;2;BE0402623937;Leuvensesteenweg;36745;679;;3071;Erps-Kwerps;BE;02 756 87 11;3227568726;Leuvensesteenweg 679  3071 Erps-Kwerps
1007031;Audi Brussels;2;BE0407687238;Brits Tweede Legerlaan;24634;201;;1190;Vorst ( Brussel );BE;02 348 21 11;3223482768;Brits Tweede Legerlaan 201  1190 Vorst ( Brussel )
1007033;Verhelst Bouwmaterialen;2;BE0405301929;Stationsstraat;60007;30;;8460;Oudenburg;BE;059 25 50 50;3259268987;Stationsstraat 30  8460 Oudenburg
1007034;Verhelst Aannemingen;2;BE0405262931;Oudenburgsesteenweg;59659;106;;8400;Oostende;BE;059 26 67 74;3259265070;Oudenburgsesteenweg 106  8400 Oostende
1007037;Brouwerij Haacht;2;BE0415276794;Provinciesteenweg;34746;28;;3190;Boortmeerbeek;BE;016 60 15 01;3216608384;Provinciesteenweg 28  3190 Boortmeerbeek
1008023;P & L Account;2;BE0458278676;Romeinse Steenweg;32710;1022;;1780;Wemmel;BE;02 456 89 19;3224568911;Romeinse Steenweg 1022  1780 Wemmel
1008028;Drukkerij van de Krijgsmacht;2;;Eversestraat;21660;1;;1140;Evere ( Brussel );BE;02 701 64 75;3227016472;Eversestraat 1  1140 Evere ( Brussel )
1008029;NCWV;2;BE0460388823;Bergensesteenweg;27770;54;;1500;Halle;BE;02 356 57 68;3223603052;Bergensesteenweg 54  1500 Halle
1008031;Kantoor Warlop;2;BE0435938883;Zuidstraat;50490;46;;8820;Torhout;BE;050 21 15 94;3250220975;Zuidstraat 46  8820 Torhout
1008036;Stadsbestuur Lokeren;2;BE0207463402;Groentemarkt;81873;1;;9160;Lokeren;BE;09 340 94 11;3293409479;Groentemarkt 1  9160 Lokeren
1008038;DHR Consultant;2;BE0443844482;Avenue Racine;156090;1;;1300;Wavre;BE;010 24 13 53;3210241353;Avenue Racine 1  1300 Wavre
1008039;Avocats Arendt & Medernach;2;BE0457924330;Rue d'Arlon;19764;92;;1040;Bruxelles;BE;02 230 65 30;3222308281;Rue d'Arlon 92  1040 Bruxelles
1008041;Fiboco;2;BE0455083814;Leeuwebekstraat;157871;4;;8501;Bissegem;BE;056 36 38 80;3256363888;Leeuwebekstraat 4  8501 Bissegem
1008048;United Partners Services;2;BE0456670555;Egide Alenusstraat;34910;4A;;3290;Diest;BE;013 32 63 73;3213322631;Egide Alenusstraat 4A  3290 Diest
1008050;Belplas Industries;2;BE0456987388;Koningsstraat;20618;97;;1000;Brussel;BE;02 363 80 87;3223617145;Koningsstraat 97  1000 Brussel
1008051;A. Schulman International Services;2;BE0457618878;Kardinaal Mercierplein;11071;2;;2800;Mechelen;BE;052 75 05 00;3252750501;Kardinaal Mercierplein 2  2800 Mechelen
1008052;SUEZ Water Technologies & Solutions;2;BE0407904596;Interleuvenlaan;37616;25;;3001;Heverlee ( Leuven );BE;016 39 46 85;3216405784;Interleuvenlaan 25  3001 Heverlee ( Leuven )
1008053;Gouda Vuurvast Belgium;2;BE0458447239;Vosveld;8019;13;;2110;Wijnegem;BE;03 326 57 00;3233266490;Vosveld 13  2110 Wijnegem
1008054;Haute Ecole de la Com. FranÁaise LiËge-Verviers-Huy-Gembloux;2;;Rue Saint-Victor;106363;3;;4500;Huy;BE;085 21 48 26;3285211541;Rue Saint-Victor 3  4500 Huy
1008055;Wienerberger;2;BE0448850870;Kapel ter Bede;55159;121;;8500;Kortrijk;BE;056 24 96 35;3256519275;Kapel ter Bede 121  8500 Kortrijk
1008057;Fiduciaire Generale de Services;2;BE0463845981;Avenue de l'Observatoire;112000;158;;4000;LiËge;BE;04 233 11 78;3242522099;Avenue de l'Observatoire 158  4000 LiËge
1008060;Roeckens & Co;2;BE0459186815;Miksebaan;4266;260A;;2930;Brasschaat;BE;03 651 23 20;3236512320;Miksebaan 260A  2930 Brasschaat
1008061;Deloitte Consulting & Advisory;2;BE0474429572;Luchthaven Brussel Nationaal;33068;1J;;1930;Zaventem;BE;02 749 56 00;3227495670;Luchthaven Brussel Nationaal 1J  1930 Zaventem
1008062;Fiduciaire de la Cense;2;BE0459890559;Rue Albert Ier;122102;81;;4280;Hannut;BE;019 63 27 14;3219510572;Rue Albert Ier 81  4280 Hannut
1008064;Liamer;2;BE0459088924;Dorpstraat;34404;26;;3060;Bertem;BE;016 62 31 15;3216203079;Dorpstraat 26  3060 Bertem
1008070;Direction GÈnÈrale Enseignements du Hainaut Delta Hainaut;2;BE0414892160;Avenue du GÈnÈral de Gaulle;92764;102;;7000;Mons;BE;065 38 26 33;3265382540;Avenue du GÈnÈral de Gaulle 102  7000 Mons
1008072;Robert Half;2;BE0440965760;Stationsstraat;26392;34;1;1702;Groot-Bijgaarden ( Dilbeek );BE;02 481 66 20;3224816633;Stationsstraat 34 1 1702 Groot-Bijgaarden ( Dilbeek )
1008073;Acco Vedeco;2;BE0458932239;Parklaan;18198;87;;2300;Turnhout;BE;014423326 11;3214428860;Parklaan 87  2300 Turnhout
1008074;Baland, Apelmaen & Co;2;BE0458991726;ChaussÈe de Roodebeek;23746;521;;1200;Woluwe-Saint-Lambert ( Bruxelles );BE;02 762 89 99;3227623177;ChaussÈe de Roodebeek 521  1200 Woluwe-Saint-Lambert ( Bruxelles )
1008075;Fiduciaire d'expertise fiscale V.M.F.;2;BE0459511368;Avenue de Saint-Pierre;92883;77;;7000;Mons;BE;065 34 64 10;;Avenue de Saint-Pierre 77  7000 Mons
1008077;Fiducial Expertise;2;BE0459517110;Avenue Louise;20319;148;;1050;Bruxelles;BE;02 649 80 16;3293855383;Avenue Louise 148  1050 Bruxelles
1008079;Fiduciaire Sellier;2;BE0456844957;Rue du PrÈ Hordal;170142;8;;5081;Meux;BE;081 60 08 99;3281600865;Rue du PrÈ Hordal 8  5081 Meux
1008081;De Groene Waterman dept. Antwerpen;2;BE0460205414;Wolstraat;953;7;;2000;Antwerpen;BE;03 232 93 94;3232341636;Wolstraat 7  2000 Antwerpen
1008082;Sobegas;2;437498605;Rue Belliard;19808;4/jun;;1040;Bruxelles;BE;02 548 78 24;3225487829;Rue Belliard 43986  1040 Bruxelles
1008083;CPAS d'Arlon;2;;AllÈe de Ch‚teau-Chinon;150025;7;;5140;Sombreffe;BE;071 88 94 72;;AllÈe de Ch‚teau-Chinon 7  5140 Sombreffe
1008090;Plaatselijke Openbare Bibliotheek;2;;Tervuursesteenweg;34438;178;;3060;Bertem;BE;016 49 99 97;3216490725;Tervuursesteenweg 178  3060 Bertem
1008092;SGR Vlaamse Ardennen;2;;Serpentsstraat;79934;63;;9700;Oudenaarde;BE;055 31 39 64;3255319987;Serpentsstraat 63  9700 Oudenaarde
1008093;Vlaamse Overheid Departement Kanselarij en Bestuur;2;;Havenlaan;20540;88;20;1000;Brussel;BE;02 5533111;3225527001;Havenlaan 88 20 1000 Brussel
1008099;MRBB;2;BE0403552959;Diestsevest;37182;32;5B;3000;Leuven;BE;016 28 62 51;3216286259;Diestsevest 32 5B 3000 Leuven
1008103;P & G Manufacturing Belgium;2;BE0459802269;Temselaan;27027;55;;1853;Strombeek-Bever ( Grimbergen );BE;02 456 21 11;3215455781;Temselaan 55  1853 Strombeek-Bever ( Grimbergen )
1008104;FOD FinanciÎn Directie-BTW Brussel II;2;367304950;Boulevard du Jardin Botanique;19854;50;350;1000;Bruxelles;BE;02 641 06 93;3222336893;Boulevard du Jardin Botanique 50 350 1000 Bruxelles
1008106;Boekhoudkantoor Bruno Verbraeken;2;476115689;Voort;11690;10;;2560;Nijlen;BE;03 237 40 46;3234817063;Voort 10  2560 Nijlen
1008107;FOD FinanciÎn 2e BBI Brugge;2;BE0308357159;Gustave Vincke-Dujardinstraat;47618;4;;8000;Brugge;BE;050 32 91 11;;Gustave Vincke-Dujardinstraat 4  8000 Brugge
1008108;Cabinet Petta & Associes;2;BE0451039607;Rue des Meuneries;167893;10;;4650;Herve;BE;087 69 20 00;3287692008;Rue des Meuneries 10  4650 Herve
1008110;FOREM;2;;ChaussÈe de Viesville;87817;46;;6041;Gosselies ( Charleroi );BE;071 20 63 88;3271206399;ChaussÈe de Viesville 46  6041 Gosselies ( Charleroi )
1009829;Gestion Comptable & Fiscale;2;BE0447997270;Avenue du Panorama;148333;4;12;5020;Vedrin;BE;081 20 04 38;3281200438;Avenue du Panorama 4 12 5020 Vedrin
